Timestamp,ClassName,Signal,NodeName,NodeTag
16:45.67;BaseButton;pressed;ButtonStartLearning;ButtonStartLearning
00:02.69;BaseButton;pressed;NextButton;NextButton
00:04.86;BaseButton;pressed;NextButton;NextButton
00:07.57;BaseButton;pressed;SkipStepButton;SkipStepButton
00:08.44;BaseButton;pressed;NextButton;NextButton
00:09.90;BaseButton;pressed;NextButton;NextButton
00:10.87;BaseButton;pressed;NextButton;NextButton
00:12.72;BaseButton;pressed;NextButton;NextButton
00:13.70;BaseButton;pressed;SkipStepButton;SkipStepButton
00:14.70;BaseButton;pressed;NextButton;NextButton
00:15.30;BaseButton;pressed;NextButton;NextButton
00:16.86;BaseButton;pressed;NextButton;NextButton
00:18.20;BaseButton;pressed;SkipStepButton;SkipStepButton
00:20.06;BaseButton;pressed;NextButton;NextButton
00:33.52;BaseButton;pressed;NextButton;NextButton
00:34.63;BaseButton;pressed;SkipStepButton;SkipStepButton
00:40.29;BaseButton;pressed;NextButton;NextButton
00:44.07;BaseButton;pressed;NextButton;NextButton
00:44.94;BaseButton;pressed;SkipStepButton;SkipStepButton
00:50.98;BaseButton;pressed;NextButton;NextButton
00:53.96;BaseButton;pressed;@Button@4704;Detach the script from the selected node.
00:56.07;BaseButton;pressed;@Button@4703;Attach a new or existing script to the selected node.
00:59.61;BaseButton;pressed;@Button@4980;
01:03.06;BaseButton;pressed;NextButton;NextButton
01:08.07;BaseButton;pressed;TryAgainButton;TryAgainButton
01:14.75;BaseButton;pressed;BackButton;BackButton
01:16.29;BaseButton;pressed;BackButton;BackButton
01:17.31;BaseButton;pressed;NextButton;NextButton
01:18.27;BaseButton;pressed;SkipStepButton;SkipStepButton
01:18.94;BaseButton;pressed;NextButton;NextButton
01:21.66;BaseButton;pressed;@Button@4704;Detach the script from the selected node.
01:22.15;BaseButton;pressed;@Button@4703;Attach a new or existing script to the selected node.
01:23.67;BaseButton;pressed;@Button@4980;
01:32.58;BaseButton;pressed;@Button@5053;Go to previous folder.
01:32.85;BaseButton;pressed;@Button@5053;Go to previous folder.
01:37.86;BaseButton;pressed;NextButton;NextButton
01:40.80;BaseButton;pressed;NextButton;NextButton
01:45.65;BaseButton;pressed;NextButton;NextButton
01:58.49;BaseButton;pressed;NextButton;NextButton
01:59.92;BaseButton;pressed;NextButton;NextButton
02:00.97;BaseButton;pressed;NextButton;NextButton
02:02.45;BaseButton;pressed;NextButton;NextButton
02:03.33;BaseButton;pressed;NextButton;NextButton
02:07.36;BaseButton;pressed;ButtonClose;ButtonClose
02:10.08;BaseButton;pressed;ButtonCloseYes;ButtonCloseYes
